category,avg_views,avg_rating
Education,3753.704555484725,3.4546883734614813
Entertainment,10440.240866309803,3.925592430413968
Travel & Events,6067.121979634104,3.18199171556783
Science & Technology,4925.569789776971,3.413804289830329
Sports,11033.377989232502,3.6791974458494954
Howto & Style,8632.038007370149,3.588480243161094
Nonprofits & Activism,3780.1020066889632,3.8138160535117067
Film & Animation,11877.856524706327,4.18189773337785
People & Blogs,10621.843506325238,3.5919479061147794
News & Politics,8333.122491592852,3.81097061344704
Pets & Animals,8636.641759546264,3.5730544747081696
UNA,69607.09668347557,3.9846993793638474
Autos & Vehicles,12523.080203953841,3.442895428929239
Music,15210.179538797927,4.179100707436634
Comedy,15153.985416580354,3.5485722335004306
Gaming,2286.8635827931644,3.3414741701041044
News &amp; Politics,8349.8,3.6979999999999995
Science &amp; Technology,373.3333333333333,4.36
Howto &amp; Style,4170.6,4.134
Film &amp; Animation,7346.571428571428,3.86
Travel &amp; Events,11129.0,4.636666666666667
Nonprofits &amp; Activism,912.0,0.0
Pets &amp; Animals,7533.75,3.6374999999999997
People &amp; Blogs,4565.9473684210525,3.608421052631579
Autos &amp; Vehicles,8312.5,4.0
