_id,age,category,comments_count,crawl_date,length,rating,ratings_count,related_ids,uploader,video_id,views
6706a2cce3960da8d1cff434,1211,Sports,1,080610,166,5.0,1,"SnruZVNdHj8,lAZmZLw97H4,WkMvrCni3F8,eC2sLouLmVU,aCt5rKYknYk,kLrkxjabXn8,FP0mBRsZZpc,3Nf4tmSvh9I,M2EkU1o3mHI,iPfDoSrdRp4,H8i6yjtBLWQ,lO3WUoSRk3w,QcUs7xvyzZI,0P2Bt_gW3Ts,UNrbtgKzq-M,4Dmvtfcxp9Q,4MHpR308WzY,o-PGQrBxV6Q,4MVkUpMn8qQ,NjlK6tDVIYs",ILIKEPIEPRO,x4fOdKPhC1M,6
6706a2cce3960da8d1cff4a3,1204,People & Blogs,6,080610,313,5.0,6,"A2XPiqhN_Ns,xXRQ59ri4kE,x44Bac8F2y8,LPabzZ0bE0c,iA7PJn7aJwY,tlMzMiCcYsY,or1WCrnPC_g,g03Tvf1Win8",Mattes50A05,XL1XD5fAcB4,428
6706a2cce3960da8d1cff476,1211,Entertainment,0,080610,38,5.0,1,"2v3WczCzsiQ,9GihbAS_NMA,d9fzpBgC9BY,9b87HKbiy70,spFdg4ee89M,j_CB1xfz-Ec,u1LC-i4I_uw,urfEgbKQud0,aGiCpdv9BVQ,FPN8HpVPXmM,MU7fyYcnUlA,q85WC2QtNjQ,Wx-a3n3ucvs,SPkFQBY-p_I,6KyRaY-uR3Y,xxJOTnSsUbA,OsdD43Q3mOc,hRUPq0b-RXk,IXkSe8_H9HY,aRs8vJdWb10",f9foru,lWl7p4bWUec,27
6706a2cce3960da8d1cff3e1,1210,Music,0,080610,89,5.0,1,"GrHDs0Wrun8,Wzw04BSxZn8,Fwjnapid6lc,critZHbKVGw,2H8KnTVNKBU,F_13LVgF3kY,ePACJlGtXyM,eRQfPR__cbA,TlLlTgOWxAU,jsQtXj6BCIg,dqkFR-pAeIQ,fvZuB3K-qrM,E2EUFcOrN4U,DoihhxVxg20,Vrtnsc6NJw8,7bpouB6_diQ,28IOzTv2aqo,1hXEfDLcOz0,P1mxUe5TbIo,v06JxyBcpmY",ExtremeTekTeam,9slO0nQvZR4,112
6706a2cce3960da8d1cff486,1200,Travel & Events,805,080610,37,5.0,5,"kE_VTIFF76Q,XaIwkfjJqeY,k9tB4ePNoCA,VjVO1GyXLqc,xLDpaAKS3ns,nGI9hF0q77o,pULa7F1gWZM,bDLh1e4-zck,Z0xwUgeKjzk,X_JqkQRVCwY,bzMm_N8IV3Q,dMH0bHeiRNg,4X50nFOTL2M,-ok-Pz7qwnc,lw_WsCrZtPI,BAJLLT99zTs,HYXrVQiFtXo,Lo31N3NCzCo,Rel5TxKqMfk,suErS5kJdlI",lolnachoslol,Sh0nmCYTurs,997
6706a2cce3960da8d1cff48d,1201,Music,10,080610,119,5.0,2,"YBWdqtYT6dA,1Kg436lKXB0,1NQkBO8Ayxc,Fa3lswMxbbk,HVv4uut_tMw,-9QThuI3L-4,bxDsk1s7hFY,EewkW3LnEuE,cXJcpxDjqzE,7x8rocfSzuo,QqvueWM5Leg,oqghCThPxFA,HDB8NWxtrA8,lwi_U5RKypo,LDLBWsJCGgY,YW5fxZEX_XI,UmuExxC0Bks,E4v2bIeKLS4,1RhF3dOrvvg,nyCNzjBrql8",Youman22AND7rst,N0SzcLXpMcQ,129
6706a2cce3960da8d1cff490,1203,Music,0,080610,76,5.0,1,"Ef6g56VtONs,lr7WLgF_ZMo,e9hK1i7ydg4,LPS8SxCnOwc,_0BnUlzghWo,1GKqiTzACwA,v5YUqrFcW1Q,yQPmtuoV4kk,MEnqKbfsfuI,tqTm46cu4VA,O4zbf31oeNE,ds2DUWqIL5A,2KoNfRlQs-E,veMtoKtEMXo,WeIoZQ9wdPg,a6a7FYngP1w,EetRVX251tk,KRORGVmQ980,C8znHRAMSSM,s3IQBVB7AOg",FreeVideoClips,6L6JmWjD9mc,78
6706a2cce3960da8d1cff48e,1129,Science & Technology,198,080610,72,5.0,2,"",taylorlee518,x3bxwTKgxVk,316
6706a2cce3960da8d1cff3fa,1209,Entertainment,192,080610,48,5.0,131,"uBZ_aeiULUY,RdZ-Tx__qXQ,zt9Qp_99ijU,zIsKTui2hvw,QE_DSU52Huw,bEeq5FzpFOk,cb_9uH-ELJE,qv5geJpz67c,NyrTKyZR3aI,FAm1-RK5OSM,-AedfJJj_zg,bssRRY1jasY,z8_k5BVSxMA,ZzztcVv_hpI,fADgO4K3-to,S_LrWuilTfY,AYZOd0qBvAM,4UDWn9CesKg,wHPivoC15Wo,-p1DcLQffS0",hillarybrynne92,X68cqaO3D6M,5298
6706a2cce3960da8d1cff48f,1195,Howto & Style,17,080610,96,5.0,7,"QlGI1Q1jUpo,tbEei0I3kMQ,Z9a6hblLuj0,LkQTEbaDLRY,Po7mtwvNUQ4,YLXrzAhjD6k,Tn11x2toMWw,Dtg6BvqOmuA,vgK4pVBoluQ,xLDpaAKS3ns,yaAq6vjXsjE,jEJ15JUp-mo,Q9ABdFb4fbM,MkuO_9cgItk,aFgGxwICnqQ,lWyO7uJdGQA,lwZbPPrp3P0,IBqxVEFtCX0,kJsy2x3Lqgk,aOwRBqxdDE8",ViralVideoChannel,1n47XZE3sAI,679
